SKU,stock,URL,SP,MRP,productname
http://www.flipkart.com/tecnifibre-carboflex-130-2008-textalium-squash-racquet/p/itmdt69s6sbjh646?pid=RAQDM4VZHGMZHGW6,In Stock.,,http://www.flipkart.com/tecnifibre-carboflex-130-2008-textalium-squash-racquet/p/itmdt69s6sbjh646,,5090,"
                            Tecnifibre Carboflex 130 2008 Textalium Squash Racquet                    "
http://www.flipkart.com/prince-tf-storm-strung-squash-racquet/p/itmdcnwahncbgejd?pid=RAQDCNWAHNCBGEJD,In Stock.,,http://www.flipkart.com/prince-tf-storm-strung-squash-racquet/p/itmdcnwahncbgejd,,3839,"
                            Prince TF Storm Strung Squash Racquet                    "
http://www.flipkart.com/tecnifibre-carboflex-140-basal-tex-squash-racquet/p/itmdt69smggxdaww?pid=RAQDM4VZ6NTKYCPZ,In Stock.,,http://www.flipkart.com/tecnifibre-carboflex-140-basal-tex-squash-racquet/p/itmdt69smggxdaww,,6570,"
                            Tecnifibre Carboflex 140 Basal Tex Squash Racquet                    "
http://www.flipkart.com/tecnifibre-carboflex-speed-squash-racquet/p/itmdt69saq3zhaee?pid=RAQDM4VZ3HWXVHPS,In Stock.,,http://www.flipkart.com/tecnifibre-carboflex-speed-squash-racquet/p/itmdt69saq3zhaee,,5600,"
                            Tecnifibre Carboflex Speed Squash Racquet                    "
http://www.flipkart.com/tecnifibre-supreme-caliber-135-squash-racquet/p/itmdt69szp5fhz9j?pid=RAQDM4VZMXRJPBTY,In Stock.,,http://www.flipkart.com/tecnifibre-supreme-caliber-135-squash-racquet/p/itmdt69szp5fhz9j,,6219,"
                            Tecnifibre Supreme Caliber 135 Squash Racquet                    "
http://www.flipkart.com/wilson-ps-6-1-100-blx2-frm3-unstrung-tennis-racquet/p/itmdg8wynsuynrzd?pid=RAQDG8WYNSUYNRZD,In Stock.,,http://www.flipkart.com/wilson-ps-6-1-100-blx2-frm3-unstrung-tennis-racquet/p/itmdg8wynsuynrzd,,13318,"
                            Wilson PS 6.1 100 BLX2 FRM3 Unstrung Tennis Racquet                    "
http://www.flipkart.com/wilson-steam-99s-g3-unstrung-tennis-racquet/p/itmdg8wy7tyzvada?pid=RAQDG8WY7TYZVADA,In Stock.,,http://www.flipkart.com/wilson-steam-99s-g3-unstrung-tennis-racquet/p/itmdg8wy7tyzvada,,12083,"
                            Wilson Steam 99S G3 Unstrung Tennis Racquet                    "
http://www.flipkart.com/wilson-six-one-team-95-blx-unstrung-tennis-racquet/p/itmdcnwaw2azs8ux?pid=RAQDCNWAW2AZS8UX,In Stock.,,http://www.flipkart.com/wilson-six-one-team-95-blx-unstrung-tennis-racquet/p/itmdcnwaw2azs8ux,,11250,"
                            Wilson Six One Team 95 BLX Unstrung Tennis Racquet                    "
,,,http://www.flipkart.com/,,,
http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs?pid=RAQDCNWAHFGHK2JB,In Stock.,,http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs,,11050,"
                            Yonex Nanospeed 9900 G4 Strung Badminton Racquet                    "
