Old URL,New URL,
/products?category=kimony,,http://live-you-sport.mybigcommerce.com/brands/Proline.html
/products?category=kinesio,,http://live-you-sport.mybigcommerce.com/brands/Protos.html
/products?category=kipsta,,http://live-you-sport.mybigcommerce.com/brands/Puma.html
/products?category=kirschbaum,,http://live-you-sport.mybigcommerce.com/brands/Q%252dLite.html
/products?category=kmc,,http://live-you-sport.mybigcommerce.com/brands/Quechua.html
/products?category=konex,,http://live-you-sport.mybigcommerce.com/brands/Racket-Buddy.html
/products?category=kookaburra,,http://live-you-sport.mybigcommerce.com/brands/Rakshak.html
/products?category=kross,,http://live-you-sport.mybigcommerce.com/brands/Ranger.html
/products?category=la,,http://live-you-sport.mybigcommerce.com/brands/RBZ.html
/products?category=lafuma,,http://live-you-sport.mybigcommerce.com/brands/Reebok.html
/products?category=led,,http://live-you-sport.mybigcommerce.com/brands/Rishon-Sport-Tools.html
/products?category=leon-paul,,http://live-you-sport.mybigcommerce.com/brands/Rocketballz.html
/products?category=les-mills,,http://live-you-sport.mybigcommerce.com/brands/RSL.html
/products?category=leuko,,http://live-you-sport.mybigcommerce.com/brands/Runalyzer.html
/products?category=leverage,,http://live-you-sport.mybigcommerce.com/brands/Sachin.html
/products?category=lew,,http://live-you-sport.mybigcommerce.com/brands/Saiga.html
/products?category=li-ning,,http://live-you-sport.mybigcommerce.com/brands/Salming.html
/products?category=lifeline,,http://live-you-sport.mybigcommerce.com/brands/Salomon.html
/products?category=lifespan,,http://live-you-sport.mybigcommerce.com/brands/Saucony.html
/products?category=lifetrak,,http://live-you-sport.mybigcommerce.com/brands/Scarpa.html
/products?category=limar,,http://live-you-sport.mybigcommerce.com/brands/Sensoria.html
/products?category=lizard,,http://live-you-sport.mybigcommerce.com/brands/SF002.html
/products?category=lobster,,http://live-you-sport.mybigcommerce.com/brands/SG.html
/products?category=lonsdale,,http://live-you-sport.mybigcommerce.com/brands/SH006.html
/products?category=lp,,http://live-you-sport.mybigcommerce.com/brands/Sharpfit.html
/products?category=luna,,http://live-you-sport.mybigcommerce.com/brands/Shrey.html
/products?category=luxilon,,http://live-you-sport.mybigcommerce.com/brands/Sigg.html
/products?category=magellan,,http://live-you-sport.mybigcommerce.com/brands/Sigma.html
/products?category=magic-home-gym,,http://live-you-sport.mybigcommerce.com/brands/Silicone.html
/products?category=magnum,,http://live-you-sport.mybigcommerce.com/brands/Silver%27s.html
/products?category=mammut,,http://live-you-sport.mybigcommerce.com/brands/Simond.html
/products?category=marcy,,http://live-you-sport.mybigcommerce.com/brands/Sklz.html
/products?category=masuri,,http://live-you-sport.mybigcommerce.com/brands/Slazenger.html
/products?category=mavic,,http://live-you-sport.mybigcommerce.com/brands/Sleek.html
/products?category=max,,http://live-you-sport.mybigcommerce.com/brands/Slime.html
/products?category=mbt,,http://live-you-sport.mybigcommerce.com/brands/SM.html
/products?category=mcdavid,,http://live-you-sport.mybigcommerce.com/brands/Snugpak.html
/products?category=mckinley,,http://live-you-sport.mybigcommerce.com/brands/Sof-Sole.html
/products?category=meindl,,http://live-you-sport.mybigcommerce.com/brands/SOLE.html
/products?category=merrel,,http://live-you-sport.mybigcommerce.com/brands/Soleus.html
/products?category=merrell,,http://live-you-sport.mybigcommerce.com/brands/Solinco.html
/products?category=miche,,http://live-you-sport.mybigcommerce.com/brands/Solognac.html
/products?category=mil-com,,http://live-you-sport.mybigcommerce.com/brands/SOTX.html
/products?category=milestone-pod,,http://live-you-sport.mybigcommerce.com/brands/Spalding.html
/products?category=military,,http://live-you-sport.mybigcommerce.com/brands/Spartan.html
/products?category=millet,,http://live-you-sport.mybigcommerce.com/brands/Speedo.html
/products?category=minoura,,http://live-you-sport.mybigcommerce.com/brands/Spiral.html
/products?category=mio,,http://live-you-sport.mybigcommerce.com/brands/Spree.html
/products?category=misfit,,http://live-you-sport.mybigcommerce.com/brands/Sprint.html
/products?category=mitre,,http://live-you-sport.mybigcommerce.com/brands/Srixon.html
/products?category=mizuno,,http://live-you-sport.mybigcommerce.com/brands/SS.html
/products?category=molten,,http://live-you-sport.mybigcommerce.com/brands/Stag.html
/products?category=montane,,http://live-you-sport.mybigcommerce.com/brands/Standford.html
/products?category=montrail,,http://live-you-sport.mybigcommerce.com/brands/Stanford.html
/products?category=moonwalkr,,http://live-you-sport.mybigcommerce.com/brands/Stanlay.html
/products?category=morrant,,http://live-you-sport.mybigcommerce.com/brands/Star-Impact.html
/products?category=mrf,,http://live-you-sport.mybigcommerce.com/brands/Starfighter.html
/products?category=muc-off,,http://live-you-sport.mybigcommerce.com/brands/Stiga.html
/products?category=mueller,,http://live-you-sport.mybigcommerce.com/brands/Studion.html
/products?category=multimat,,http://live-you-sport.mybigcommerce.com/brands/Sudu.html
/products?category=muscle-solid,,http://live-you-sport.mybigcommerce.com/brands/Survivavpure.html
/products?category=nabaiji,,http://live-you-sport.mybigcommerce.com/brands/Suunto.html
/products?category=nakamura,,http://live-you-sport.mybigcommerce.com/brands/Swimovate.html
/products?category=nathan,,http://live-you-sport.mybigcommerce.com/brands/SwingTIP.html
/products?category=nelco,,http://live-you-sport.mybigcommerce.com/brands/Tasmanian-Tiger.html
/products?category=new-balance,,http://live-you-sport.mybigcommerce.com/brands/Tatonka.html
/products?category=newbery,,http://live-you-sport.mybigcommerce.com/brands/Taylor-Made.html
/products?category=newfeel,,http://live-you-sport.mybigcommerce.com/brands/TaylorMade.html
/products?category=newton,,http://live-you-sport.mybigcommerce.com/brands/Tecnifibre.html
/products?category=nike,,http://live-you-sport.mybigcommerce.com/brands/Tektro.html
/products?category=nittaku,,http://live-you-sport.mybigcommerce.com/brands/Thwack.html
/products?category=nivia,,http://live-you-sport.mybigcommerce.com/brands/Tibhar.html
/products?category=noene,,http://live-you-sport.mybigcommerce.com/brands/Tifosi.html
/products?category=nordisk-mos,,http://live-you-sport.mybigcommerce.com/brands/Titleist.html
/products?category=northwave,,http://live-you-sport.mybigcommerce.com/brands/TK.html
/products?category=novafit,,http://live-you-sport.mybigcommerce.com/brands/Toalson.html
/products?category=nrs,,http://live-you-sport.mybigcommerce.com/brands/TomTom.html
/products?category=nuvo,,http://live-you-sport.mybigcommerce.com/brands/Top-Pro.html
/products?category=oakley,,http://live-you-sport.mybigcommerce.com/brands/Topeak.html
/products?category=octane,,http://live-you-sport.mybigcommerce.com/brands/Toppro.html
/products?category=odyssey,,http://live-you-sport.mybigcommerce.com/brands/Tourna.html
/products?category=optimum,,http://live-you-sport.mybigcommerce.com/brands/Tretorn.html
/products?category=orca,,http://live-you-sport.mybigcommerce.com/brands/Tribord.html
/products?category=osel,,http://live-you-sport.mybigcommerce.com/brands/Trigger-Point.html
/products?category=oxelo,,http://live-you-sport.mybigcommerce.com/brands/TSP.html
/products?category=panaracer,,http://live-you-sport.mybigcommerce.com/brands/Tunturi.html
/products?category=park,,http://live-you-sport.mybigcommerce.com/brands/Tynor.html
/products?category=park-tool,,http://live-you-sport.mybigcommerce.com/brands/U.S.-Kids.html
/products?category=parrot,,http://live-you-sport.mybigcommerce.com/brands/UHLSport.html
/products?category=pcb,,http://live-you-sport.mybigcommerce.com/brands/Under-Armour.html
/products?category=pearl,,http://live-you-sport.mybigcommerce.com/brands/Unicorn.html
/products?category=pedro,,http://live-you-sport.mybigcommerce.com/brands/Unique.html
/products?category=pelican,,http://live-you-sport.mybigcommerce.com/brands/Universal.html
/products?category=penn,,http://live-you-sport.mybigcommerce.com/brands/USI.html
/products?category=pf,,http://live-you-sport.mybigcommerce.com/brands/Vampire.html
/products?category=phospor-watch,,http://live-you-sport.mybigcommerce.com/brands/Vaude.html
/products?category=phyode,,http://live-you-sport.mybigcommerce.com/brands/Vector.html
/products?category=ping,,http://live-you-sport.mybigcommerce.com/brands/Vector-X.html
/products?category=pinnacle,,http://live-you-sport.mybigcommerce.com/brands/Vibram.html
/products?category=planet,,http://live-you-sport.mybigcommerce.com/brands/Vicky.html
/products?category=pmi,,http://live-you-sport.mybigcommerce.com/brands/Victor.html
/products?category=pocket-radar,,http://live-you-sport.mybigcommerce.com/brands/Vijayanti.html
/products?category=polar,,http://live-you-sport.mybigcommerce.com/brands/Vincita.html
/products?category=polaris,,http://live-you-sport.mybigcommerce.com/brands/Vinex.html
/products?category=pota,,http://live-you-sport.mybigcommerce.com/brands/ViPR.html
/products?category=potable,,http://live-you-sport.mybigcommerce.com/brands/Viva.html
/products?category=pots,,http://live-you-sport.mybigcommerce.com/brands/VivoBarefoot.html
/products?category=power-block--2,,http://live-you-sport.mybigcommerce.com/brands/Wahoo-Fitnes.html
/products?category=powerglide,,http://live-you-sport.mybigcommerce.com/brands/Walsh.html
/products?category=powertraveller,,http://live-you-sport.mybigcommerce.com/brands/Web%252dTex.html
/products?category=precision,,http://live-you-sport.mybigcommerce.com/brands/Welcare.html
/products?category=precor,,http://live-you-sport.mybigcommerce.com/brands/WildCraft.html
/products?category=presto,,http://live-you-sport.mybigcommerce.com/brands/Wilson.html
/products?category=primus,,http://live-you-sport.mybigcommerce.com/brands/Withings.html
/products?category=prince,,http://live-you-sport.mybigcommerce.com/brands/XLR8.html
/products?category=princeton,,http://live-you-sport.mybigcommerce.com/brands/Yasaka.html
/products?category=pro-bodyline,,http://live-you-sport.mybigcommerce.com/brands/Yonex.html
/products?category=pro-fit,,http://live-you-sport.mybigcommerce.com/brands/Yonker.html
/products?category=pro-kennex,,http://live-you-sport.mybigcommerce.com/brands/Zefal.html
/products?category=profile,,http://live-you-sport.mybigcommerce.com/brands/Zepp.html
/products?category=proline,,http://live-you-sport.mybigcommerce.com/brands/Zixtro.html
/products?category=protos,,http://live-you-sport.mybigcommerce.com/brands/Zoot.html
/products?category=puma,,
/products?category=q-lite,,
/products?category=quad-netz,,
/products?category=quechua,,
/products?category=rab,,
/products?category=racket-buddy,,
/products?category=rainsuit,,
/products?category=rakshak,,
/products?category=ranger,,
/products?category=ransome,,
/products?category=rbz,,
/products?category=reebok,,
/products?category=rhino,,
/products?category=rishon-sport-tools,,
/products?category=ronhill,,
/products?category=rossignol,,
/products?category=rothco,,
/products?category=rsl,,
/products?category=rucanor,,
/products?category=rucksack,,
/products?category=runalyzer,,
/products?category=runtastic,,
/products?category=sachin,,
/products?category=salming,,
/products?category=salomon,,
/products?category=samba,,
/products?category=saucony,,
/products?category=sawyer,,
/products?category=scarpa,,
/products?category=schwinn,,
/products?category=scs,,
/products?category=seadoo,,
/products?category=sensoria,,
/products?category=sg,,
/products?category=sharpfit,,
/products?category=shimano,,
/products?category=shock,,
/products?category=shrey,,
/products?category=si,,
/products?category=sigg,,
/products?category=sigma,,
/products?category=silver-s,,
/products?category=simond,,
/products?category=single,,
/products?category=skechers,,
/products?category=skins,,
/products?category=sklz,,
/products?category=slazenger,,
/products?category=slime,,
/products?category=sm,,
/products?category=smith,,
/products?category=smith-wesson,,
/products?category=snugpak,,
/products?category=sof-sole,,
