Category,SKU,Description,Specification,SP,MRP,SubCategory,productname,Size,imgurl3,imgurl2,imgurl1,stock
Cosco 2000 Cricket Bat, Cosco 2000,,"
		English Willow THREE STAR,
		9 Piece singapore cane handle,
		Choice in Natural/Poly Finish.,
		Thick Edges & Bulge.,
		S uperbly BALANCED with New GRAPHICS.,
		Full Length bat Cover.","Rs. 2,910.00","Rs. 3,875.00",,Cosco 2000 Cricket Bat,,,,http://scssports.in/image/cache/data/cosco 2000-500x500.jpg, In Stock
Wilson Power BLX FRM 3 Badminton Racket, 033227,,,"Rs. 4,312.00","Rs. 5,390.00",,Wilson Power BLX FRM 3 Badminton Racket,3 3/8                        ,,,http://scssports.in/image/cache/data/apparels/033227-500x500.jpg, In Stock
Vector X Manchester Football - Size 5, FBL_2012073104,"
	","
		The Manchester football is a high quality football from Vector-X and made from specially calendar chinese PVC of 1.4 mm.  ,
		It offers excellent shape retention.  ,
		It also has a long lasting life.  ,
		This ball is suitable for intermediate level of play.  ,
		Expertise Level: Intermediate,
		Play Surface: Indoor, Street, Hard/Soft Ground,
		Size: 5,
		Outer: Chinese PVC 1.4 mm  ,
		Actual Product may vary from the one shown in the image",Rs. 445.00,Rs. 450.00,,Vector X Manchester Football - Size 5,,,,http://scssports.in/image/cache/data/footballs/FBL_2012073104-500x500.jpg, In Stock
SCS Billiard Chalk Box - Blue (Pack of 12), 400170,"
	SCS Billiard Chalk Box,
	Blue Color,
	Pack of 12",,Rs. 90.00,Rs. 100.00,,SCS Billiard Chalk Box - Blue (Pack of 12),,,,http://scssports.in/image/cache/data/Pool/400170-500x500.png, In Stock
Gray Nicolls Kaboom GN4 EW Cricket Bat - Size Full, GN_CRBT_022908,,,"Rs. 6,936.00","Rs. 8,159.00",,Gray Nicolls Kaboom GN4 EW Cricket Bat - Size Full,,,,http://scssports.in/image/cache/data/total_dump/GN_CRBT_022908-500x500.jpg, In Stock
SCS Billiard Cue Bag-SCS 62-Leather-1/2, 400216,,,Rs. 893.00,"Rs. 1,050.00",,SCS Billiard Cue Bag-SCS 62-Leather-1/2,,,,http://scssports.in/image/cache/data/Pool/400216-500x500.png, In Stock
Babolat Tennis Racket Aeropro Drive RG/FO, BLT_498138,"
	BABOLAT AeroPro Drive French Open Tennis Racket Roland-Garros Limited Edition Featuring Aero Modular Technology that utilises an aerodynamically designed modular frame making it the perfect frame adapted to the evolution of modern tennis. Maximum penetration through the air and increased hitting power allow you to create devastating shots all over the court. Specification: Weight: 300g Balance: 32cm Length: 27 in. Head size: 100 sq. in. Grip: Syntec French Open",,"Rs. 12,000.00","Rs. 16,000.00",,Babolat Tennis Racket Aeropro Drive RG/FO,,,,http://scssports.in/image/cache/data/total_dump/BLT_498138-500x500.jpg, Out Of Stock
DRIVE 3 ALL COURT WIMBLEDON MEN WHITE/GREEN/SILVER, 36F1395-150,"
	The Official Wimbledon Shoe ",,"Rs. 5,200.00","Rs. 8,000.00",,DRIVE 3 ALL COURT WIMBLEDON MEN WHITE/GREEN/SILVER,"UK 7.5                        ,UK 8.5                        ,UK 9.5                        ,UK 10.5                        ,UK 11.5                        ,UK 12.5                        ",,,http://scssports.in/image/cache/data/bbl25-500x500.jpg, In Stock
Puma Evolution Reserve English Willow Cricket Bat, CRBT_2707018,,,"Rs. 11,999.00","Rs. 14,999.00",,Puma Evolution Reserve English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/CRBT_2707018-500x500.jpg, In Stock
Speedo Long Hair Swimming Cap, SP_SW8026,,,Rs. 589.00,Rs. 599.00,,Speedo Long Hair Swimming Cap,,,,http://scssports.in/image/cache/data/total_dump/SP_SW8026-500x500.jpg, In Stock
MRF Genius-X Limited Edition English Willow Cricket Bat, CRBT_110997,,,"Rs. 8,392.00","Rs. 10,490.00",,MRF Genius-X Limited Edition English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/CRBT_110997-500x500.jpg, In Stock
Speedo Kick Swimming Goggles - Junior, SP_SW8049,,,Rs. 289.00,Rs. 299.00,,Speedo Kick Swimming Goggles - Junior,,,,http://scssports.in/image/cache/data/total_dump/SP_SW8049-500x500.jpg, 2 - 3 Days
Arena Cobra Mirror Swimming Goggles, 53975,"
	FEATURES Low-profile lens Mirorr-coated lens Side temples Thin gasket overmoulded on lens Dual silicone strap RFA adjustment 4-size nose bridge BENEFITS Hydrodynamic RACING Superior UV protection, outstanding look Superior stability and hydrodynamics Perfect seal, high level of comfort, eye protection against kicks Secure fit for racing Perfect adaptability to the face MATERIALS LENS: Polycarbonate SEAL: TPE STRAP: Silicone **Actual Product and Color may vary. Colors subject to availability",,"Rs. 2,160.00","Rs. 2,400.00",,Arena Cobra Mirror Swimming Goggles,,,,http://scssports.in/image/cache/data/goggles/053975-500x500.png, In Stock
Butterfly Mazunow Table Tennis Blade FL, 067300,"
	Butterfly Mazunow Table Tennis Blade FL,
	• Extremely fast for an all-wood blade.,
	• The Mazunov blade combines fine blocking touch with incredible mid-distance power.,
	,
	SPECIFICATIONS:,
	, OFF+,
	, Hard,
	, 5W,
	, 107g,
	, 6.8,
	, 160x153mm,
	, 101x23mm",,"Rs. 3,190.00","Rs. 4,556.00",,Butterfly Mazunow Table Tennis Blade FL,,,,http://scssports.in/image/cache/data/Mazunov-500x500.jpg, In Stock
Babolat Jr. Tennis Racket Roddick Junior 145, BLT_498136,"
	BABOLAT Roddick 145 Junior Tennis Racket The new Babolat Roddick racket is designed for advanced players seeking rock solid performance fused with comfortable feel. Players with a medium swing style will enjoy the power created opening up the avenues of both spin and power baseline play. Specification: Head size: 105in sq. Weight: 245g Length: 660mm/26in. Composition: Graphite/Aluminium",,"Rs. 2,700.00","Rs. 3,600.00",,Babolat Jr. Tennis Racket Roddick Junior 145,,,,http://scssports.in/image/cache/data/total_dump/BLT_498136-500x500.jpg, In Stock
Arena Moulded Silicone Swimming Cap, 24521,"
	FEATURES Volume cap Extra soft silicone material BENEFITS No wrinkles, also suitable for long hair Superior comfort, fit and elasticity MATERIALS 100% SILICONE DETAILS PVC free **Actual Product and Color may vary. Colors subject to availability",,Rs. 432.00,Rs. 480.00,,Arena Moulded Silicone Swimming Cap,,,,http://scssports.in/image/cache/data/goggles/024521-500x500.png, In Stock
Adidas Howzat FS Cricket Shoes Full Spikes, Howzat,"
	Adidas Howzat FS Cricket Shoes Full Spikes",,"Rs. 5,400.00","Rs. 5,999.00",,Adidas Howzat FS Cricket Shoes Full Spikes,"UK 11                        ,UK 9                        ,UK 8                        ,UK 7                        ",,,http://scssports.in/image/cache/data/G64461-500x500.jpg, In Stock
SCS Pool Ball Set (Pack of 16), 400162,"
	SCS Pool Ball Set (Pack of 16)",,Rs. 935.00,"Rs. 1,100.00",,SCS Pool Ball Set (Pack of 16),,,,http://scssports.in/image/cache/data/Pool/400162-500x500.png, In Stock
Babolat Pro Hurricane Tennis Coil, Pro Hurricane,"
	Babolat Pro Hurricane Tennis Coil,
	,
	The , string is another advancement in Babolatâ€™s co-polyester products. This polyester string separates itself from other polyesters because it is composed of various blocks of polyester that are fused together. This fusion produces varied characteristics than conventional single-poly strings. The Pro Hurricane offers exceptional flexibility for a polyester string, which makes for added comfort and tension maintenance.Â  The string is produced in an octagonal shape that creates more bite on the ball, enhancing spins and delivering a pop on your shots. Also, the Pro Hurricane features great durability because of its friction reducing silicone coating.,
	,
	The , mixes playability with durability for the big hitter who wants spin and control from his strings.",,"Rs. 9,600.00","Rs. 12,000.00",,Babolat Pro Hurricane Tennis Coil,,,,http://scssports.in/image/cache/data/Pro Hurricane-500x500.jpg, In Stock
Babolat Ballfighter 125 Junior Tennis Racket (Strung), Ballfighter 125,"
	Babolat Ballfighter 125 Junior Tennis Racket,
	Your little tennis player can step onto the court with confidence, prepared to face their opponent when they are equipped with Babolat’s Ballfighter 125. This tennis racquet for , helps these little stars to enjoy their recreational tennis games and excel at their tennis competitions.,
	 ",,"Rs. 1,800.00","Rs. 2,400.00",,Babolat Ballfighter 125 Junior Tennis Racket (Strung),,,,http://scssports.in/image/cache/data/Ballfighter-500x500.jpg, In Stock
SCS Billiard Cue Stick OMIO-SCS 24-2 Piece-3/4, 400186,,,"Rs. 2,083.00","Rs. 2,450.00",,SCS Billiard Cue Stick OMIO-SCS 24-2 Piece-3/4,,,,http://scssports.in/image/cache/data/Pool/400186-500x500.png, In Stock
Butterfly Addoy 2000 Table Tennis Bat, BFLY_068503,,,Rs. 867.00,"Rs. 1,084.00",,Butterfly Addoy 2000 Table Tennis Bat,,,,http://scssports.in/image/cache/data/total_dump/BFLY_068503-500x500.jpg, 2 - 3 Days
SCS Billiard Cue Extention-SCS 61-PVC, 400214,,,"Rs. 1,360.00","Rs. 1,600.00",,SCS Billiard Cue Extention-SCS 61-PVC,,,,http://scssports.in/image/cache/data/Pool/400214-500x500.png, In Stock
SG Super Club Right Handed Mens Batting Gloves, BT_1611057,"
	These SG Super Club Batting Gloves are ideal for junior batsmen between the ages of eleven and fifteen years. The gloves are full fingered to ensure that they provide complete protection to your hand. The polyvinyl chloride that is used on the gloves ensures that they are wear-resistant and absorbs the shock of the ball. The palms of the gloves is made of leather and the perforation between the fingers ensures airflow within the gloves. More than three decades of manufacturing par excellence cricketing goods has made Sanspareils Greenlands the world's go-to company for any serious cricketer, setting new standards with every step. SG prides itself on a research & development team that comprises of world-class cricketers themselves ensuring a unique, first-hand perspective on the exact needs of any player.",,Rs. 480.00,Rs. 599.00,,SG Super Club Right Handed Mens Batting Gloves,,,,http://scssports.in/image/cache/data/superclub-500x500.jpg, In Stock
Arena X Vision Mirror Swimming Goggles, 24462,"
	FEATURES Polycarbonate split lens Low profile liquid silicone gasket Wishbone temples Silicone strap, RFA adjustment 5-size interchangeable nose bridge Mirror coated lens BENEFITS Enhanced forward vision, improves head and body alignment Comfort, secure seal Lightweight, stable and hydrodynamic Precise fit Adaptability and perfect fit Superior UV protection, outstanding look MATERIALS LENS: Polycarbonate SEAL: Liquid silicone STRAP: Silicone **Actual Product and Color may vary. Colors subject to availability",,"Rs. 1,620.00","Rs. 1,800.00",,Arena X Vision Mirror Swimming Goggles,,,,http://scssports.in/image/cache/data/goggles/024462-500x500.png, Out Of Stock
Head Youtek IG Instinct S Tennis Racket, HEAD_071369,,,"Rs. 9,380.00","Rs. 11,725.00",,Head Youtek IG Instinct S Tennis Racket,,,,http://scssports.in/image/cache/data/total_dump/HEAD_071369-500x500.jpg, In Stock
Kookaburra Kahuna 900 Right Handed Mens Batting Gloves, BT_1611015,,,"Rs. 1,920.00","Rs. 2,399.00",,Kookaburra Kahuna 900 Right Handed Mens Batting Gloves,,,,http://scssports.in/image/cache/data/total_dump/BT_1611015-500x500.jpg, In Stock
Head Tennis Racket  Microgel Instinct, HEAD_TRMGINS,"
	Head Tennis Racket Microgel Instinct Head Size: 100 sq. in MP Length: 27 inches Weight: Strung — 11 oz Unstrung — 10.4 oz Tension: 52-62 pounds Balance: 1 Pts Head Light Beam Width: 23-25-21mm Composition: Microgel / Graphite Flex: 66 Grip Type: HydroSorb Power Level: Low String Pattern: 18 Mains / 19 Crosses Two Piece Swing Speed: Fast Swing Weight: 313",,"Rs. 5,800.00","Rs. 10,499.00",,Head Tennis Racket  Microgel Instinct,,,,http://scssports.in/image/cache/data/total_dump/mginstinct-500x500.jpg, Out Of Stock
Wilson Tour Ceptor Tennis Shoes, Tour Ceptor,"
	",,"Rs. 3,060.00","Rs. 3,599.00",,Wilson Tour Ceptor Tennis Shoes,"UK 9                        ,UK 8                        ,UK 7                        ,UK 11                        ,UK 10                        ",,,http://scssports.in/image/cache/data/wrs317360-500x500.jpg, In Stock
SS Platino Batting Pads, 030318,"
	SS Platino Batting Pads",,"Rs. 1,080.00","Rs. 1,200.00",,SS Platino Batting Pads,Mens RH                        ,,,http://scssports.in/image/cache/data/Platino-500x500.jpg, In Stock
Cosco Atlanta Foot Ball, Cosco Atlanta ,,"
		Cosflex top cover,
		Hand sewn,
		Latex bladder",Rs. 555.00,Rs. 740.00,,Cosco Atlanta Foot Ball,,,,http://scssports.in/image/cache/data/cosco atlanta-500x500.jpeg, In Stock
Tretorn Academy I Tennis Ball - 1 Dozen, Tretorn Academy I,,"
		I.T.F. approved ball. (International Tennis Federation).,
		Exclusive TTI Woven Felt.,
		A mid-compression ball suited for children aged 9-10 and beginner adults.,
		Softer and 20% lighter than a standard ball.,
		Approved Play and Stay, Green zone.,
		2 Piece Permanent Power Construction.,
		- 25% reduced bounce.,
		- 25% reduced speed.","Rs. 1,192.00","Rs. 1,584.00",,Tretorn Academy I Tennis Ball - 1 Dozen,,,,http://scssports.in/image/cache/data/tretorn acd 1-500x500.jpg, In Stock
Arena Smart Swimming Cap, 24529,,,"Rs. 1,080.00","Rs. 1,200.00",,Arena Smart Swimming Cap,,,,http://scssports.in/image/cache/data/total_dump/024529-500x500.jpg, In Stock
Wilson Prostaff Tennis Backpack, prostaff_backpack,,,"Rs. 1,874.00","Rs. 2,499.00",,Wilson Prostaff Tennis Backpack,,,,http://scssports.in/image/cache/data/total_dump/Prostaff Backpack-500x500.jpg, In Stock
GKI Fasto Table Tennis Bat, MSC_0802201228,,,Rs. 394.00,Rs. 438.00,,GKI Fasto Table Tennis Bat,,,,http://scssports.in/image/cache/data/total_dump/MSC_0802201228-500x500.jpg, In Stock
SG RSD Super English Willow Cricket Bat, SG_CR1015,"
	SG RSD Super English Willow Cricket Bat - Made from the highest quality English Willow Thick edges and curved blade for powerful performance The handle is made from premium, imported Saravak cane to deliver superior power and control Comes with a full length padded bat cover with adjustable strap Toe protector for better durability and maintaining the moisture level Pre-prepared bat with face tape Available in size SH",,"Rs. 5,440.00","Rs. 6,799.00",,SG RSD Super English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/SG_CR1015-500x500.jpg, Out Of Stock
SCS LT/Ball Training-SCS 98-Training, 400253,,,"Rs. 4,229.00","Rs. 4,975.00",,SCS LT/Ball Training-SCS 98-Training,,,,http://scssports.in/image/cache/data/Pool/400253-500x500.png, In Stock
Stiga Elite Table Tennis Bat, MSC_0802201257,"
	Stiga Elite Table Tennis Bat The Elite Combines Spin And Speed Characteristics For The Serious Player. Wrb Technology Provides Extra Sensitivity And More Power. Two Star Bat With 1.7 Mm Rubber. Wrb Patented System. I.T.T.F. Approved.",,Rs. 800.00,Rs. 940.00,,Stiga Elite Table Tennis Bat,,,,http://scssports.in/image/cache/data/total_dump/MSC_0802201257-500x500.jpg, In Stock
Stag S-27 Table Tennis Robot, s_27,"
	Stag S-27 Table Tennis Robot Whats included: • Net to automatically return balls into the robots feed tray • Free ball catcher to pick up balls from the floor Specifications: - Dual head robot - Each head has 9 different spin selection - Ability to change spin without manual adjustments to head - Frequency: 25-86 balls/min - Speed: 4-50 m/sec - Each head is loop adjustable. Range of 0-40 degrees - Serve style: self programable. 1-22 spot selection (vertical & horizontal) - Serve sequence: 30 sets of preset sequence. Automatic random sequence mode. - Total Weight: 27.60 kg - Net Weight: 19.20 kg - Package Measurement: 110 x 57 x 42cm - Machine body measurement: 52 x 37 x 107cm",,,,,Stag S-27 Table Tennis Robot,,,,http://scssports.in/image/cache/data/total_dump/s27-500x500.jpg, In Stock
Babolat Club Line x 3 Racket Holder - BLUE, BL13_024438,"
	Babolat Club Line x 3 Racket Holder - BLUE - a main compartment for apparel - 1 side pocket for accessories & personal items - adjustable shoulder straps with foam padding for added comfort Capacity - 22 L Size - 29.1 x 13 x 5.5 in / 74 x 33 x 14 cm",,"Rs. 1,950.00","Rs. 2,600.00",,Babolat Club Line x 3 Racket Holder - BLUE,,,,http://scssports.in/image/cache/data/751064_136-500x500.jpg, In Stock
Joola Match Table Tennis Bat, MSC_0802201240,,,Rs. 703.00,Rs. 879.00,,Joola Match Table Tennis Bat,,,,http://scssports.in/image/cache/data/total_dump/MSC_0802201240-500x500.jpg, In Stock
Tibhar 5 Q Table Tennis Rubber (Max), 031200,"
	Tibhar 5 Q Table Tennis Rubber (Max),
	 ",,"Rs. 3,703.00","Rs. 5,290.00",,Tibhar 5 Q Table Tennis Rubber (Max),Black                        ,,,http://scssports.in/image/cache/data/5Q-500x500.jpg, In Stock
SG Fusion Select English Willow Cricket Bat, SG_CR1019,,,"Rs. 5,600.00","Rs. 6,999.00",,SG Fusion Select English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/Fusion_select-500x500.jpg, In Stock
Cosco Challenge Basket Ball, Cosco Challenge ,,"
		Composite Leather cover designed for good grip and high durability.,
		Reinforced with multifilament nylon providing excellent shape retention and consistent rebound.,
		Butyl bladder for high air retention.,
		Official size & weight.,
		Designed for Indoor play for serious players.","Rs. 1,115.00","Rs. 1,485.00",,Cosco Challenge Basket Ball,,,,http://scssports.in/image/cache/data/cosco challen-500x500.jpg, In Stock
Puma PLATINUM 5000 Batting Gloves, IN91885601,,,"Rs. 3,229.00","Rs. 3,799.00",,Puma PLATINUM 5000 Batting Gloves,,,,http://scssports.in/image/cache/data/total_dump/puma-batting-gloves-platinum-5000-500x500.jpg, In Stock
Speedo Aquasocket Swimming Goggles, SP_SW8053,,,"Rs. 1,650.00","Rs. 1,699.00",,Speedo Aquasocket Swimming Goggles,,,,http://scssports.in/image/cache/data/total_dump/SP_SW8053-500x500.jpg, 2 - 3 Days
Cosco Championship Basket Ball, Cosco Championship,,"
		Reinforced with multifilament nylon providing excellent shape retention and consistent rebound.,
		Butyl bladder for high air retention.,
		Official size & weight.,
		Designed for Indoor play for serious players.,
		Available in Size 7 & 6.","Rs. 2,000.00","Rs. 2,665.00",,Cosco Championship Basket Ball,,,,http://scssports.in/image/cache/data/cosco champ bb-500x500.jpg, In Stock
SS Platino Right Handed Mens Batting Gloves, BT_1611080,"
	Sareen Sports, commonly known as SS, is a well-known and established name in the sports gear manufacturing industry. From cricket bats to kit bags, they have it all, the quality of their products is superior and they always try to match at par with all international and national standards. Foam underlay to the back of the hand for added all day comfort New attractive design Absolute value for money Breathable fingers giving added comfort Flexible and comfortable Colour: Subject to availability",,Rs. 808.00,"Rs. 1,010.00",,SS Platino Right Handed Mens Batting Gloves,,,,http://scssports.in/image/cache/data/total_dump/BT_1611080-500x500.jpg, In Stock
Butterfly Bryce  Table Tennis Rubber (2.1), bryce,"
	Butterfly Bryce Table Tennis Rubber (2.1) • Powered by High Tension, which reduces energy loss at the ball rebound as much as 18% compared to other rubbers • As both rubber and sponge are flexible and highly resilient, they catch and absorb the oncoming ball and catapult it back at your opponent with your own added speed and spin. SPECIFICATIONS: Class: Super Speed Surface: Inverted Speed: 12.0 Spin: 9.5 Density: 35",,"Rs. 2,002.00","Rs. 2,860.00",,Butterfly Bryce  Table Tennis Rubber (2.1),,,,http://scssports.in/image/cache/data/total_dump/Bryce-500x500.jpg, Out Of Stock
Arena Fluid Swimming Goggles, 24476,"
	FEATURES Oversized lenses Liquid silicone body Split strap Adjust Control System BENEFITS Good all round vision Soft, comfortable, perfect fit Easy to wear, secure fit Easy strap adjustment while wearing the goggle MATERIALS LENS: Polycarbonate SEAL: Liquid silicone STRAP: Silicone **Actual Product and Color may vary. Colors subject to availability",,"Rs. 1,440.00","Rs. 1,600.00",,Arena Fluid Swimming Goggles,,,,http://scssports.in/image/cache/data/goggles/024476-500x500.png, In Stock
Head Graphene Radical Rev Tennis Racket, Graphene Radical Rev,"
	Head Graphene Radical Rev Tennis Racket,
	,
	,
	 ",,"Rs. 12,122.00","Rs. 18,649.00",,Head Graphene Radical Rev Tennis Racket,4 3/8                        ,,,http://scssports.in/image/cache/data/Radical Rev-500x500.jpg, In Stock
Nelco Carbon English Willow Cricket Bat, CRBT_2707003,,,"Rs. 9,592.00","Rs. 11,990.00",,Nelco Carbon English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/CRBT_2707003-500x500.jpg, In Stock
Donic Epox Top Table Tennis Blade, epox_top,,,"Rs. 3,487.00","Rs. 4,649.00",,Donic Epox Top Table Tennis Blade,,,,http://scssports.in/image/cache/data/total_dump/Epox Top-500x500.jpg, In Stock
Babolat Aeropro Lite GT 2013 Tennis Racket (Strung), APROLITE_2013,"
	Babolat Aeropro Lite GT 2013 Strung - 4 3/8 Tennis Racket This Babolat Aeropro Lite GT 2013 Strung - 4 3/8 Tennis Racquet is meant for senior players and can be used for playing at the advanced and competitive levels. The racquet has a balance of 340 mm. Benefits and Safety Features The racquet has an unstrung weight of 260 g and a grip size of 4 3/8. This racquet from Babolat also has an ample head size of 100 sq. in. Primarily specialists in tennis and badminton sporting equipment, Babolat is a brand that ensures that it remains at the forefront of current technology, catering to the precise needs of champions who rule the sports. With a presence in more than 100 countries, the Babolat logo is one that is instantly associated with decades of expertise. Ideal For - Senior Playing Level - Advanced, Professional Strung - Yes Balance - 340 mm BODY FEATURES Head Size - 100 sq. in. Grip Size - 4 3/8 Unstrung Weight - 260 g",,"Rs. 16,500.00","Rs. 22,000.00",,Babolat Aeropro Lite GT 2013 Tennis Racket (Strung),4 3/8                        ,,,http://scssports.in/image/cache/data/total_dump/babolataeroprolite2013(1)-500x500.jpg, In Stock
Cosco Championship Tennis Ball - 1 Dozen, Championship,"
	",,Rs. 880.00,"Rs. 1,116.00",,Cosco Championship Tennis Ball - 1 Dozen,,,,http://scssports.in/image/cache/data/cosco champ-500x500.jpg, In Stock
SCS Billiard Table Cushion - 1.55 Mtr (Pack of 6), 400181,,,"Rs. 1,955.00","Rs. 2,300.00",,SCS Billiard Table Cushion - 1.55 Mtr (Pack of 6),,,,http://scssports.in/image/cache/data/Pool/400181-500x500.png, In Stock
SCS Football Score Board-Manual, 400292,,,"Rs. 3,647.00","Rs. 4,290.00",,SCS Football Score Board-Manual,,,,http://scssports.in/image/cache/data/Pool/400292-500x500.png, In Stock
Cosco Hand Ball Goal-32 (Mini), Cosco Goal-32 (mini),,"
		Available in size-2 for use in junior/subjunior and women level play.,
		High quality backing material for high shape stability.,
		Cosflex special high grip top cover material.,
		White Colour.,
		Synthetic hand Sewn.",Rs. 465.00,Rs. 615.00,,Cosco Hand Ball Goal-32 (Mini),,,,http://scssports.in/image/cache/data/cosco mini-500x500.jpg, In Stock
Cosco Water Polo Hand Ball, Cosco Water Polo,,"
		Rubber Moulded.,
		Rough surface for good wet grip.,
		Size : international.,
		18 panel moulded ball.,
		Yellow colours for high visibility.",Rs. 475.00,Rs. 630.00,,Cosco Water Polo Hand Ball,,,,http://scssports.in/image/cache/data/cosco water polo-500x500.jpg, In Stock
Wilson Red Alert 16G String Tennis Gut, 033207,,,Rs. 720.00,Rs. 899.00,,Wilson Red Alert 16G String Tennis Gut,,,,http://scssports.in/image/cache/data/apparels/033207-500x500.jpg, In Stock
Arena Cobra Mirror Swimming Goggles, 24460,"
	FEATURES Low-profile lens Mirorr-coated lens Side temples Thin gasket overmoulded on lens Dual silicone strap RFA adjustment 4-size nose bridge BENEFITS Hydrodynamic RACING Superior UV protection, outstanding look Superior stability and hydrodynamics Perfect seal, high level of comfort, eye protection against kicks Secure fit for racing Perfect adaptability to the face MATERIALS LENS: Polycarbonate SEAL: TPE STRAP: Silicone **Actual Product and Color may vary. Colors subject to availability",,"Rs. 2,520.00","Rs. 2,800.00",,Arena Cobra Mirror Swimming Goggles,,,,http://scssports.in/image/cache/data/goggles/024460-500x500.png, In Stock
Head Tennis Racket Titanium 3100, HEAD_TRTN3100,"
	Head Tennis Racket Titanium 3100 Size Mid-Plus Weight 275 gm Balance 325 mm Power level Medium Frame 22 mm Grip Size 4 3/8 in Expertise Level Intermediate Material Fused Graphite Swing Speed Moderate Racquet Length 27 inches Head size 100 String Pattern (mains, crosses) 18 X 19 Pre-Strung (Yes/No) Yes",,"Rs. 3,040.00","Rs. 3,375.00",,Head Tennis Racket Titanium 3100,,,,http://scssports.in/image/cache/data/total_dump/tit_3100-500x500.jpg, Out Of Stock
SCS Base Ball-SCS 120-Mini-9 Inch, 400274,"
	SCS Base Ball-SCS 120-Mini-9 Inch",,Rs. 107.00,Rs. 125.00,,SCS Base Ball-SCS 120-Mini-9 Inch,,,,http://scssports.in/image/cache/data/Baseball_(crop)-500x500.jpg, In Stock
Head Junior Tennis Racket B-23, HEAD_TRB23,,,"Rs. 1,394.00","Rs. 1,549.00",,Head Junior Tennis Racket B-23,,,,http://scssports.in/image/cache/data/total_dump/b23-500x500.jpg, In Stock
Babolat Club Line FO/RG 6 Racket Holder, BLT_104404,"
	Babolat Club Line FO - Roland Garros 6 Racket Holder A very lightweight, no nonsense bag. This special edition Roland Garros bag features two compartments that offer plenty of room for 6 racquets or fewer racquets and some gear. Show up to the courts in style with this bag in eye-catching bag Dimensions: L29 x H12 x W8 in Two main compartments with room for 3 racquets each, or less racquets with some gear. Large accessory side pocket Detachable padded shoulder strap Quick grab handle Colors: Orange / Grey / Black",,"Rs. 3,600.00","Rs. 4,000.00",,Babolat Club Line FO/RG 6 Racket Holder,,,,http://scssports.in/image/cache/data/total_dump/BLT_104404-500x500.jpg, Out Of Stock
Wilson BLX Juice 100 Lite Tennis Racket, 033115,"
	Wilson BLX Juice 100 Lite Tennis Racke,
	 ",,"Rs. 12,560.00","Rs. 15,699.00",,Wilson BLX Juice 100 Lite Tennis Racket,4 3/8                        ,,,http://scssports.in/image/cache/data/apparels/033115-500x500.jpg, In Stock
Wilson Pro 25 Tennis Racket, 033135,,,"Rs. 1,840.00","Rs. 2,299.00",,Wilson Pro 25 Tennis Racket,Junior                        ,,,http://scssports.in/image/cache/data/apparels/033135-500x500.jpg, In Stock
Babolat Team RG/FO X 12 Racket Holder - Clay, 751068-120,"
	Babolat Team RG/FO X 12 Racket Holder - Clay",,"Rs. 5,440.00","Rs. 6,800.00",,Babolat Team RG/FO X 12 Racket Holder - Clay,,,,http://scssports.in/image/cache/data/751068-120-500x500.jpg, In Stock
Vector X Liverpool Football - Size 5, FBL_2012073112,"
	","
		6 Panel Construction.  ,
		Made from Calendared Chinese PVC 1.4 MM.  ,
		4 Polyester Linings.  ,
		Excellent Playability.  ,
		Long Lasting.  ,
		Actual Product may vary from the one shown in the image",Rs. 445.00,Rs. 450.00,,Vector X Liverpool Football - Size 5,,,,http://scssports.in/image/cache/data/footballs/FBL_2012073112-500x500.jpg, Out Of Stock
Cosco Pulse Basket Ball, Cosco Pulse ,,"
		Rubber moulded Two-Colour.,
		Available in size : 7 & 6.,
		Exceptional low wear, durable rubberised covers.,
		Nylon winding for higher shape retention and rebound.,
		Butyl bladder for high air retention.",Rs. 555.00,Rs. 740.00,,Cosco Pulse Basket Ball,,,,http://scssports.in/image/cache/data/cosco pulse-500x500.jpg, In Stock
BABOLAT HEADBAND 1PER PACK BLACK/WHITE, 45S1377-101,"
	",,,,,BABOLAT HEADBAND 1PER PACK BLACK/WHITE,,,,http://scssports.in/image/cache/data/bbl6-500x500.jpg, In Stock
Cosco Champion Volley Ball, Cosco Champion,,"
		Nylon windings for shape retention.,
		Butyl bladder for high air retention.,
		Official size & weight.",Rs. 510.00,Rs. 675.00,,Cosco Champion Volley Ball,,,,http://scssports.in/image/cache/data/cosco champio-500x500.jpg, In Stock
Speedo Roll Up Armbands - Orange, SP_SW8002,"
	","
		Bright orange and made of high-quality durable PVC, these roll-up armbands with safety valves are easy to put on even when inflated.,
		Suitable for children (2-12 years) of up to 50kg, they meet European safety standards.",Rs. 589.00,Rs. 599.00,,Speedo Roll Up Armbands - Orange,,,,http://scssports.in/image/cache/data/swimming/SP_SW8002-500x500.jpg, 2 - 3 Days
Kookaburra Rogue 350 Right Handed Youth Batting Gloves, BT_1611017,,,Rs. 880.00,"Rs. 1,099.00",,Kookaburra Rogue 350 Right Handed Youth Batting Gloves,,,,http://scssports.in/image/cache/data/total_dump/BT_1611017-500x500.jpg, In Stock
