imageurl,description,productname
http://cosco.in//viewprodimage.php?modelid=4045,"
            
              HI-GRIP Rubber moulded, orange colour.
Available in size : 7,6, 5.   Durable rubberised cover.
Best for outdoor play.     
Nylon winding for higher shape retention and rebound.    
Butyl bladder for high air retention. 
 

Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, HI-GRIP , HI-GRIP ,Rubber moulded, orange colour.
Available in size : 7,6, 5.   Durable rubberised cover.
Best for outdoor play.     
Nylon winding for higher shape retention and rebound.    
Butyl bladder for high air retention. 
 

,Packing:Each",HI-GRIP
http://cosco.in//viewprodimage.php?modelid=5043,"
            
              PULSE Rubber moulded Two-Colour. 
Available in size : 7 &amp; 6. Exceptional low wear, durable rubberised covers.
Nylon winding for higher shape retention and rebound.    
Butyl bladder for high air retention. 
 
Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, PULSE , PULSE ,Rubber moulded Two-Colour. 
Available in size : 7 &amp; 6. Exceptional low wear, durable rubberised covers.
Nylon winding for higher shape retention and rebound.    
Butyl bladder for high air retention. 
 
,Packing:Each",PULSE
http://cosco.in//viewprodimage.php?modelid=4015,"
            
              TOURNAMENT Rubber moluded, Orange colour,size -7 &amp; 6. Revolutionary, highly wear resistant rubberised cover surface. 
 Wide channel and deeper grains for better ball control and excellent grip. 
Nylon winding for higher shape retention and rebound.  
Butyl bladder for high air retention.
  Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, TOURNAMENT , TOURNAMENT ,Rubber moluded, Orange colour,size -7 &amp; 6. Revolutionary, highly wear resistant rubberised cover surface. 
 Wide channel and deeper grains for better ball control and excellent grip. 
Nylon winding for higher shape retention and rebound.  
Butyl bladder for high air retention.
  ,Packing:Each",TOURNAMENT
http://cosco.in//viewprodimage.php?modelid=4010,"
            
              CHALLENGE [Composite Leather Pasted, Size-7,6]

Composite Leather cover designed for good grip and high durability. 
Reinforced with multifilament nylon providing excellent shape retention and consistent rebound.   
Butyl bladder for high air retention.  
Official size &amp; weight.   
Designed for Indoor play for serious players.  
Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CHALLENGE , CHALLENGE ,[Composite Leather Pasted, Size-7,6]

Composite Leather cover designed for good grip and high durability. 
Reinforced with multifilament nylon providing excellent shape retention and consistent rebound.   
Butyl bladder for high air retention.  
Official size &amp; weight.   
Designed for Indoor play for serious players.  
,Packing:Each",CHALLENGE
http://cosco.in//viewprodimage.php?modelid=4717,"
            
              CHAMPIONSHIP  C.L.P. [Orange,Composite Leather Pasted]Reinforced with multifilament nylon providing excellent shape retention and consistent rebound.Butyl bladder for high air retention.Official size &amp; weight.Designed for Indoor play for serious players.Available in Size 7 &amp; 6.
Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CHAMPIONSHIP  C.L.P. , CHAMPIONSHIP  C.L.P. ,[Orange,Composite Leather Pasted]Reinforced with multifilament nylon providing excellent shape retention and consistent rebound.Butyl bladder for high air retention.Official size &amp; weight.Designed for Indoor play for serious players.Available in Size 7 &amp; 6.
,Packing:Each",CHAMPIONSHIP  C.L.P.
http://cosco.in//viewprodimage.php?modelid=4085,"
            
              CHAMPION 

Multigraphic Design   
Rubber Moulded   
Size-3. Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CHAMPION , CHAMPION ,

Multigraphic Design   
Rubber Moulded   
Size-3. ,Packing:Each",CHAMPION
http://cosco.in//viewprodimage.php?modelid=4080,"
            
              USA 

Multigraphic Design   
Rubber Moulded   
Size-3 
Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, USA , USA ,

Multigraphic Design   
Rubber Moulded   
Size-3 
,Packing:Each",USA
http://cosco.in//viewprodimage.php?modelid=4075,"
            
              TWENTY THREE 

Multigraphic Design   
Rubber Moulded   
Size-3 






Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, TWENTY THREE , TWENTY THREE ,

Multigraphic Design   
Rubber Moulded   
Size-3 
",TWENTY THREE
http://cosco.in//viewprodimage.php?modelid=10,"
            
              AERO 737 Designed for Excellent Sensitivity &amp; Touch.Very Good Flight.Maximum Control.High Durable Nylon.Cork look Foam. Recommended For Training.

View Large Image
Packing:6 Pcs. PER TUBE


>Shuttle Cock>>Nylon"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, AERO 737 , AERO 737 ,Designed for Excellent Sensitivity &amp; Touch.Very Good Flight.Maximum Control.High Durable Nylon.Cork look Foam. Recommended For Training.

View Large Image
,Packing:6 Pcs. PER TUBE",AERO 737
http://cosco.in//viewprodimage.php?modelid=78,"
            
              AERO 777  
Designed for Excellent Sensitivity &amp; Touch  
Excellent Flight   
Maximum Control Cork Base.
High Durable Nylon.   Available in Yellow /White Colour.
Recommended for Match Play.
 

View Large Image
Packing:6 Pcs. PER TUBE


>Shuttle Cock>>Nylon"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, AERO 777 , AERO 777 , 
Designed for Excellent Sensitivity &amp; Touch  
Excellent Flight   
Maximum Control Cork Base.
High Durable Nylon.   Available in Yellow /White Colour.
Recommended for Match Play.
 

View Large Image
,Packing:6 Pcs. PER TUBE",AERO 777
