Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image File - 1
Product,,Carbon (WKG),Nelco Sports,2390,2390,2390,"


",N2008WGM1NELPRD,NELCOSPORTS,Wicket Keeping Gloves ,Carbon (WKG),15-23 Working days,100,N,-150,Get your hands on the Carbon (WKG). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Carbon (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Carbon (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387801191_WKG-CARBON MENS.jpg
Product,,Blizzard (WKL),Nelco Sports,895,895,895,"

",N2008WLM5NELPRD,NELCOSPORTS,Wicket Keeping Legguards ,Blizzard (WKL),15-23 Working days,100,N,-150,Get your hands on the Blizzard (WKL). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Blizzard (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Blizzard (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386659299_not-ava.jpg
Rule,,[S]Size= - Mens,,[FIXED]895,[FIXED]895,[FIXED]895,,N2008WLM5,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Youth ,,[FIXED]895,[FIXED]895,[FIXED]895,,N2008WLY1,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]895,[FIXED]895,[FIXED]895,,N2008WLB1,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Maxximuss (WKL),Nelco Sports,935,935,935,"

",N2008WLM4NELPRD,NELCOSPORTS,Wicket Keeping Legguards ,Maxximuss (WKL),15-23 Working days,100,N,-150,Get your hands on the Maxximuss (WKL). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Maxximuss (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Maxximuss (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386659267_not-ava.jpg
Product,,Blizzard (WKG),Nelco Sports,920,920,920,"

",N2008WGM4NELPRD,NELCOSPORTS,Wicket Keeping Gloves ,Blizzard (WKG),15-23 Working days,100,N,-150,Get your hands on the Blizzard (WKG). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Blizzard (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Blizzard (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386658193_not-ava.jpg
Rule,,[S]Size= - Mens / Youth / Boys,,[FIXED]920,[FIXED]920,[FIXED]920,,N2008WGM4,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Mens / Youth / Boys,,[FIXED]920,[FIXED]920,[FIXED]920,,N2008WGY1,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Mens / Youth / Boys,,[FIXED]920,[FIXED]920,[FIXED]920,,N2008WGB1,NELCOSPORTS,,,,100,,,,,,,,,
Product,,ISIS - Extra Long Knee Protection,Nelco Sports,1850,1850,1850,"

",N2008WLM1NELPRD,NELCOSPORTS,Wicket Keeping Legguards ,ISIS - Extra Long Knee Protection,15-23 Working days,100,N,-150,Get your hands on the ISIS - Extra Long Knee Protection. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the ISIS - Extra Long Knee Protection Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy ISIS - Extra Long Knee Protection Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386659116_not-ava.jpg
Product,,VIPER (WKG),Nelco Sports,2150,2150,2150,"

",N2008WGM2NELPRD,NELCOSPORTS,Wicket Keeping Gloves ,VIPER (WKG),15-23 Working days,100,N,-150,Get your hands on the VIPER (WKG). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the VIPER (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy VIPER (WKG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386658006_not-ava.jpg
Product,,Viper (Moulded) EG,Nelco Sports,230,230,230,"

",N2008EGM3NELPRD,NELCOSPORTS,Elbow Guard ,Viper (Moulded) EG,15-23 Working days,100,N,-150,Get your hands on the Viper (Moulded) EG. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Viper (Moulded) EG Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Viper (Moulded) EG Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387013917_not-ava.jpg
Rule,,[S]Size= Size - Mens,,[FIXED]230,[FIXED]230,[FIXED]230,,N2008EGM3,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= Size - Youth,,[FIXED]230,[FIXED]230,[FIXED]230,,N2008EGY1,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]230,[FIXED]230,[FIXED]230,,N2008EGB1,NELCOSPORTS,,,,100,,,,,,,,,
Product,,VIPER (WKL),Nelco Sports,1280,1280,1280,"

",N2008WLM3NELPRD,NELCOSPORTS,Wicket Keeping Legguards ,VIPER (WKL),15-23 Working days,100,N,-150,Get your hands on the VIPER (WKL). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the VIPER (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy VIPER (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386659201_not-ava.jpg
