Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Elliptical Cross Trainer,Burn Fitness,294900.00,294900.00,,,BURNSFECE7,BURNSF,gym-equipments,Elliptical Cross Trainer,8-13 Working Days,100,N,-190,Get your hands on the Elliptical Cross Trainer. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Elliptical Cross Trainer Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Elliptical Cross Trainer Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/e/c/ece7.jpg,
Product,Burn Elliptical Trainer Bike,Burn Fitness,161900.00,161900.00,,<div class="std">        <p><span>Key Features:</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>1.   </span><span>16 grades resistance level; 8 professional exercise programs.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>2.   </span><span>Adopt imported self-generated motor electronic system. Adjust the resistance conveniently at any time.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>3.   </span><span>Elliptical arms designed with ergonomics and kinematics in order to make your exercise be more properly and meet different users' exercise requirement.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>4.   </span><span>Handhold heart rate test; to test your heart rate anytime when take exercise.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>5.   </span><span>Adopt fixed and scroll display to make the operation be more humanistic.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"><span>6.   </span><span>Adopt high quality 8-slot belt and bidirectional bearing make exercise smoother.</span></p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"> </p><p style="margin-left: 18.0pt; text-indent: -18.0pt;">Covers an area of space：2200 X 800 X 1750 MM</p><p style="margin-left: 18.0pt; text-indent: -18.0pt;">Gross weight：98 KGS</p><p style="margin-left: 18.0pt; text-indent: -18.0pt;">Net weight：86 KGS</p><p style="margin-left: 18.0pt; text-indent: -18.0pt;"> </p>    </div>,BURNSFBF8618A,BURNSF,gym-equipments,Burn Elliptical Trainer Bike,8-13 Working Days,100,N,-190,Get your hands on the Burn Elliptical Trainer Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Elliptical Trainer Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Elliptical Trainer Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8618a.jpg,
Product,Burn Elliptical Cross Trainer BF-7618B,Burn Fitness,74900.00,74900.00,,<div class="std">        <p style="text-align: left;"><b>Specs:</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>1.   Fashion roadster shape design; smooth and novel; going by somatology.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>2.   All rotating part adopt high quality durable bearing; make the exercise smooth.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>3.   Adopt ECB motor adjustment system; adjust the resistance at any time and keep you safety.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>4.   Blue light intelligent big window displa workout program which can help you choose the suitable exercise way.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>5.   Handhold heart rate test sensor; make sure you can control your heart rate by adjusting your exercise intension.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>6.   Front moving wheel setting ; it can be easily moved from one place to other places.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b>7.   External power supply; more energy-saving and environment friendly.</b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"> </p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b><strong>Covers an area of space：1880 X 680 X 1800 MM</strong></b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b><strong><strong>Gross weight：68 KGS</strong></strong></b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"><b><strong><strong><strong>Net weight：63.8 KGS</strong></strong></strong></b></p><p style="margin-left: 18.0pt; text-align: left; text-indent: -18.0pt;"> </p>    </div>,BURNSFBF7618B,BURNSF,gym-equipments,Burn Elliptical Cross Trainer BF-7618B,8-13 Working Days,100,N,-190,Get your hands on the Burn Elliptical Cross Trainer BF-7618B. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Elliptical Cross Trainer BF-7618B Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Elliptical Cross Trainer BF-7618B Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7618b.jpg,
Product,Burn Motorized treadmill 3hp AC,Burn Fitness,234900.00,234900.00,,<div class="std">        <p><b>1.  The maximum Power 3HP AC motor which is Eco-friendly; low power consumption and low noise but high effectiveness. Speed: 1~18 KM/H; Inclination: 0~15%.</b></p><p><b><span>2.  Handhold heart rate test; with short-cut of speed and inclination. Emergency braking and safety switch double functions to keep exercise safer.</span></b></p><p><b><span>3.  With built-in 8 professional exercise programs; select different programs to achieve different exercise functions; special descent device to protect safety.</span></b></p><p><b><span>4.  External USB connector; with built-in MP3 and the clear loudspeaker can listen to music which make exercise easier and happy</span></b></p><p><b><span>5.  Display calorie; distance; time; speed; inclination and heart rate. Anti-skid stick on side brim can avoid slippery. Easily-folded and removed</span></b></p><p><b><span>6.  Use the echelon auto compensation type Buffering device patent; ensure the sustainability of elasticity and decrease the exercise impact.</span></b></p><p><b><span>7. Possess the air fan function with 4 kinds of direct election buttons and short-cuts of speed and inclination.</span></b></p><p><b><span>8.  Meadow grain color running belt; low friction; anti-static special design. PU rubber coating handrail design; which is comfortable; eco-friendly and healthy.</span></b></p><p> </p><div class="miaoshu"><span style="float: left; padding: 0px 9px 0px 9px; font-weight: bold; font-size: 12px; color: #ffffff; background: #00A0C6;">Product Data</span></div><table style="width: 420px;" border="0"><tbody><tr><td><p><span style="color: #727272;">MOTOR POWER: </span></p></td><td><p><span style="color: #727272;">3.0 HP </span></p></td></tr><tr><td><p><span style="color: #727272;">Speed Range: </span></p></td><td><p><span style="color: #727272;">1.0~18 KM/H</span></p></td></tr><tr><td><p><span style="color: #727272;">VOLUME: </span></p></td><td><p><span style="color: #727272;">1.34 M3 </span></p></td></tr><tr><td><p><span style="color: #727272;">Assembly Space </span></p></td><td><p><span style="color: #727272;">2063X800X1371 MM</span></p></td></tr><tr><td><p><span style="color: #727272;">Package Vol: </span></p></td><td><p><span style="color: #727272;">2170X860X515 MM </span></p></td></tr><tr><td><p><span style="color: #727272;">G.W.: </span></p></td><td><p><span style="color: #727272;">178.4 KGS</span></p></td></tr></tbody></table>    </div>,BURNSFBFT7000EA,BURNSF,gym-equipments,Burn Motorized treadmill 3hp AC,8-13 Working Days,100,N,-190,Get your hands on the Burn Motorized treadmill 3hp AC. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Motorized treadmill 3hp AC Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Motorized treadmill 3hp AC Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bft7000-ea.jpg,
Product,Burn Motorized Treadmill  4hp AC,Burn Fitness,299900.00,299900.00,,<div class="std">        <p><b>1.   </b><b>The maximum 4.0HP AC motor.</b></p><p style="text-indent: -18pt; margin-left: 18pt;"><b><span>2.   </span></b><b><span>Speed: 1.0~22 KM/H; Inclination: 0~15%.</span></b></p><p style="text-indent: -18pt; margin-left: 18pt;"><b><span>3.   </span></b><b><span>8 window LED display: workout; exercise program graph; goal value; within 4 speed programs; 3 auto-adjusting incline programs and 1 competition program.</span></b></p><p style="text-indent: -18pt; margin-left: 18pt;"><b><span>4.   </span></b><b><span>Handhold heart rate test; with incline quick key on the handlebar.</span></b></p><p style="text-indent: -18pt; margin-left: 18pt;"><b><span>5.   </span></b><b><span>Speed shortcut key.</span></b></p><p style="text-indent: -18pt; margin-left: 18pt;"><b><span>6.   </span></b><b><span>Emergency stop function.</span></b></p><p style="text-indent: -18pt; margin-left: 18pt;"><b><span>7.   </span></b><b><span>PU rubber handlebar; comfortable and healthy.</span></b></p><p style="text-indent: -18pt; margin-left: 18pt;"> </p><div class="miaoshu"><span style="float: left; padding: 0px 9px 0px 9px; font-weight: bold; font-size: 12px; color: #ffffff; background: #00A0C6;">Product Data</span></div><table style="width: 420px;" border="0"><tbody><tr><td><p><span style="color: #727272;">MOTOR POWER: </span></p></td><td><p><span style="color: #727272;">4.0 HP </span></p></td></tr><tr><td><p><span style="color: #727272;">Speed Range: </span></p></td><td><p><span style="color: #727272;">1.0~22 KM/H</span></p></td></tr><tr><td><p><span style="color: #727272;">VOLUME: </span></p></td><td><p><span style="color: #727272;">1.3542 M3 </span></p></td></tr><tr><td><p><span style="color: #727272;">Assembly Space </span></p></td><td><p><span style="color: #727272;">2180X830X1370 MM</span></p></td></tr><tr><td><p><span style="color: #727272;">Package Vol: </span></p></td><td><p><span style="color: #727272;">2480X1040X553 MM </span></p></td></tr><tr><td><p><span style="color: #727272;">G.W.: </span></p></td><td><p><span style="color: #727272;">188 KGS</span></p></td></tr></tbody></table>    </div>,BURNSFBF8000BA,BURNSF,gym-equipments,Burn Motorized Treadmill  4hp AC,8-13 Working Days,100,N,-190,Get your hands on the Burn Motorized Treadmill  4hp AC. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Motorized Treadmill  4hp AC Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Motorized Treadmill  4hp AC Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8000-ba.jpg,
Product,Revolving Straight Bar,Burn Fitness,1950.00,1950.00,,<div class="std">        <ul><li><span class="a-list-item">Engineered to do triceps press downs; straight bar curls; upright rows; arm pullovers and much more. A smooth; fluid center swivel ensures constant; steady; uninterrupted motion. This versatile bar is perfect for any gym; club or home.</span></li></ul>    </div>,BURNSFBFA2286,BURNSF,gym-equipments,Revolving Straight Bar,8-13 Working Days,100,N,-190,Get your hands on the Revolving Straight Bar. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Revolving Straight Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Revolving Straight Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/o/rod-03.jpg,
Product,Stirup Handle,Burn Fitness,750.00,750.00,,,BURNSFBFA2281,BURNSF,gym-equipments,Stirup Handle,8-13 Working Days,100,N,-190,Get your hands on the Stirup Handle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Stirup Handle Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Stirup Handle Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2281.jpg,
Product,Rubber Support Pad,Burn Fitness,565.00,565.00,,,BURNSFBFA2253,BURNSF,gym-equipments,Rubber Support Pad,8-13 Working Days,100,N,-190,Get your hands on the Rubber Support Pad. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rubber Support Pad Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rubber Support Pad Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2253.jpg,
Product,Tricep Rope,Burn Fitness,840.00,840.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Over-sized rubber blocks</span></li><li><span class="a-list-item">Super-thick; high-carbon steel swivel for strength; durability and comfort</span></li></ul></div></div>    </div>,BURNSFBFA2251,BURNSF,gym-equipments,Tricep Rope,8-13 Working Days,100,N,-190,Get your hands on the Tricep Rope. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Tricep Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Tricep Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/o/rod-05.jpg,
Product,Crazy Fit Massager 1000W,Burn Fitness,40490.00,40490.00,,,BURNSFSCS102,BURNSF,home-equipments,Crazy Fit Massager 1000W,8-13 Working Days,100,N,-190,Get your hands on the Crazy Fit Massager 1000W. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Crazy Fit Massager 1000W Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Crazy Fit Massager 1000W Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,,
Product,Mini Stepper with Rope BF-001-S4,Burn Fitness,4990.00,4990.00,,<div class="std">        <table style="width: 574px;" border="0"><colgroup><col> <col> </colgroup><tbody><tr><td class="xl65">Model</td><td class="xl66">: BF001S-4</td></tr><tr><td class="xl67">Description</td><td class="xl68">: Mini Stepper</td></tr><tr><td class="xl69">FEATURE</td><td class="xl68"> </td></tr><tr><td class="xl70">Power</td><td class="xl68">: 200W</td></tr><tr><td class="xl70">Speed Range</td><td class="xl68">: 1 - 50 Level</td></tr><tr><td class="xl70">Added Feature</td><td class="xl68">: Attached Resistance Tubes for Multi Positioning</td></tr><tr><td class="xl69">CONSOLE</td><td class="xl68"> </td></tr><tr><td class="xl70">Display Type</td><td class="xl68">: 3 LED Window</td></tr><tr><td class="xl70">Display Feedback</td><td class="xl68">: Time; Speed &amp; Body Fat Value</td></tr><tr><td class="xl70">Programs</td><td class="xl68">: 3 Built-In</td></tr><tr><td class="xl69">TECHNICAL SPECIFICATION</td><td class="xl68"> </td></tr><tr><td class="xl71">Product Dimention<br> (L x W x H)</td><td class="xl72">: 71 x 75 x 122.5cm</td></tr><tr><td class="xl71">Package Dimention<br> (L x W x H)</td><td class="xl72">: 114 x 76.5 x 26cm</td></tr><tr><td class="xl70">G.W. / N.W.</td><td class="xl68">: 38.5kg / 34kg</td></tr><tr><td class="xl73">Maximum User Weight</td><td class="xl74">: 110kg / 242lbs</td></tr></tbody></table>    </div>,BURNSFBF001S4,BURNSF,home-equipments,Mini Stepper with Rope BF-001-S4,8-13 Working Days,100,N,-190,Get your hands on the Mini Stepper with Rope BF-001-S4. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Mini Stepper with Rope BF-001-S4 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Mini Stepper with Rope BF-001-S4 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf001s-4.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf001s-4_a.jpg,
Product,Ab Exerciser Machine,Burn Fitness,5690.00,5690.00,,,BURNSFBF003A4,BURNSF,home-equipments,Ab Exerciser Machine,8-13 Working Days,100,N,-190,Get your hands on the Ab Exerciser Machine. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ab Exerciser Machine Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ab Exerciser Machine Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,,
Product,7 IN 1 Bench Press,Burn Fitness,15990.00,15990.00,,,BURNSFSCSKFBH34,BURNSF,home-equipments,7 IN 1 Bench Press,8-13 Working Days,100,N,-190,Get your hands on the 7 IN 1 Bench Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the 7 IN 1 Bench Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy 7 IN 1 Bench Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,,
Product,Magnetic X Up Right Bike,Burn Fitness,13490.00,13490.00,,<div class="std">        <p><strong>Feature :</strong></p><ul><li>Advantage : Foldable (Space Saver)</li><li>Heart Rate : Contact Grip</li><li>Handle Bar : Soft Cushion</li><li>Crank Design : 3 Piece</li><li>Seat Adjustment : Vertical</li><li>RESISTANCE SYSTEM </li><li>Tension Control : Magnetic</li><li>Resistance Level : 1 - 8 Level</li><li>Added Function : 1.2kg Two Way Fly Wheel</li><li>CONSOLE </li><li>Display Type : 1 LCD Window </li><li>Display Feedback : Time; Speed; Distance; Pulse; Calories &amp; Scan</li><li>Programs : Manual</li><li>EAN Number : 500055</li><li>Ideal For : Training</li><li>Dead Weight : 13.9kg</li><li>Volumetric Weight : 15.5kg</li><li>Max user weight : 100kg</li><li>Types of Exercise Bikes : Magnetic X- Bike</li><li>Dimensions : 85.5 x 42.5 x 110cm</li></ul>    </div>,BURNSFBF33S,BURNSF,home-equipments,Magnetic X Up Right Bike,8-13 Working Days,100,N,-190,Get your hands on the Magnetic X Up Right Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Magnetic X Up Right Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Magnetic X Up Right Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf33s.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf33s-1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf33s-2.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf33s-3.jpg,
Product,Lateral Raise,Burn Fitness,257900.00,257900.00,,<div class="std">        -L x W x H:1170x1030x1528 mm-PRODUCT WEIGHT:113.1KG-WEIGHT STACK:91KG/200LBS     </div>,BURNSFBF9524,BURNSF,gym-equipments,Lateral Raise,8-13 Working Days,100,N,-190,Get your hands on the Lateral Raise. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Lateral Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Lateral Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9524.jpg,
Product,Tricep Ext. Machine,Burn Fitness,243900.00,243900.00,,<div class="std">        -L x W x H:1267 x 1116 x 1528 mm-PRODUCT WEIGHT:123.7KG-WEIGHT STACK:68KG/150LBS    </div>,BURNSFBF9523,BURNSF,gym-equipments,Tricep Ext. Machine,8-13 Working Days,100,N,-190,Get your hands on the Tricep Ext. Machine. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Tricep Ext. Machine Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Tricep Ext. Machine Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9523.jpg,
Product,Prone Leg Curl,Burn Fitness,269900.00,269900.00,,<div class="std">        <p>-L x W x H:1790 x 1105 x 1528 mm</p><p>-PRODUCT WEIGHT: 137.6KG</p><p>-WEIGHT STACK: 91KG/200LBS</p>    </div>,BURNSFBF9521,BURNSF,gym-equipments,Prone Leg Curl,8-13 Working Days,100,N,-190,Get your hands on the Prone Leg Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Prone Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Prone Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9521.jpg,
Product,Weight Assisted Chin Dip Combo,Burn Fitness,327900.00,327900.00,,<div class="std">        <p>-L x W x H:1295 x 1178 x 2287 mm</p><p>-PRODUT WEIGHT:151.8KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9520,BURNSF,gym-equipments,Weight Assisted Chin Dip Combo,8-13 Working Days,100,N,-190,Get your hands on the Weight Assisted Chin Dip Combo. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Weight Assisted Chin Dip Combo Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Weight Assisted Chin Dip Combo Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9520.jpg,
Product,Vertical Row,Burn Fitness,284900.00,284900.00,,<div class="std">        <p>-L x W x H:1617 x 1156 x 1528 mm</p><p>-PRODUCT WEIGHT:119KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9519,BURNSF,gym-equipments,Vertical Row,8-13 Working Days,100,N,-190,Get your hands on the Vertical Row. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Vertical Row Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Vertical Row Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9519.jpg,
Product,Seated Dip Press,Burn Fitness,268900.00,268900.00,,<div class="std">        -L x W x H:1720 x 1200 x 1528 mm-PRODUCT WEIGHT:134.8KG-WEIGHT STACK:91KG/200LBS     </div>,BURNSFBF9517,BURNSF,gym-equipments,Seated Dip Press,8-13 Working Days,100,N,-190,Get your hands on the Seated Dip Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Seated Dip Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Seated Dip Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9517.jpg,
Product,Rotary Calf,Burn Fitness,253900.00,253900.00,,<div class="std">        <p>-L x W x H:1680 x 1180 x 1528 mm</p><p>-PRODUCT WEIGHT:127.7KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9516,BURNSF,gym-equipments,Rotary Calf,8-13 Working Days,100,N,-190,Get your hands on the Rotary Calf. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rotary Calf Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rotary Calf Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9516.jpg,
Product,Elite Flat Bench,Burn Fitness,7790.00,7790.00,,,BURNSFSCSKFSB62,BURNSF,home-equipments,Elite Flat Bench,8-13 Working Days,100,N,-190,Get your hands on the Elite Flat Bench. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Elite Flat Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Elite Flat Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,,
Product,Magnetic Up Right Bike,Burn Fitness,13790.00,13790.00,,<div class="std">        <p><strong>Feature :</strong></p><ul><li>Monitor : Time; Speed Pulse Dist; Cal; Sacn;Odo</li><li>Carton Size : 72 x 28.5 x 51 (cm)</li><li>G.W : 21.9kg</li><li>N.W : 19.5 KG</li><li>Loading Qty : 287sets/20' 591 sets/40'FCL 664 sets/40'HQ</li><li>Specification : 4 kgs Two Ways; Flat Belt 1pc Crank</li></ul>    </div>,BURNSFBF83106,BURNSF,home-equipments,Magnetic Up Right Bike,8-13 Working Days,100,N,-190,Get your hands on the Magnetic Up Right Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Magnetic Up Right Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Magnetic Up Right Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf83106.jpg,
