Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,516177,2-7 Business  Days,7,6,5,IND516177,Adidas Men Navy Eyota M Running Shoes,2,1,BuyAdidas Men Navy Eyota M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,999",3,"2,999",,Y,,,By Product,Adidas Men Navy Eyota M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Eyota-M-Running-Shoes_2e32c858587e68737f29a77bff510466_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Eyota-M-Running-Shoes_470bdeaa83b821f44ba0b8bf04f0b0f1_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Eyota-M-Running-Shoes_c159df61267b9dc3d526ba644b1ec118_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Eyota-M-Running-Shoes_4d3db301b9f4b3d80036a4a9c5dca963_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Eyota-M-Running-Shoes_d0229f3acea5cb8d1440d7b49ca11817_images_mini.jpg",
SKU,,,,2278701,,,,,IND2278701,,,,,,,,,,Y,74,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357604,,,,,IND1357604,,,,,,,,,,Y,17,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357597,,,,,IND1357597,,,,,,,,,,Y,10,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357598,,,,,IND1357598,,,,,,,,,,Y,7,,,[S]Size=UK 12,,,,,,,
SKU,,,,1402305,,,,,IND1402305,,,,,,,,,,Y,250,,,[S]Size=UK 10,,,,,,,
SKU,,,,546002,,,,,IND546002,,,,,,,,,,Y,85,,,[S]Size=UK 9,,,,,,,
SKU,,,,2278737,,,,,IND2278737,,,,,,,,,,Y,79,,,[S]Size=UK 7,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406513,2-7 Business  Days,7,6,5,IND406513,Adidas Men Black Eyota M Running Shoes,2,1,BuyAdidas Men Black Eyota M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,999",3,"2,999",,Y,,,By Product,Adidas Men Black Eyota M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Eyota-M-Running-Shoes_11cb22a38c65f0c8c1f13b7a91760809_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Eyota-M-Running-Shoes_d00df4d4e0939fb4d982ed4cafc64c62_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Eyota-M-Running-Shoes_f9a2811f745c533cf5ea06311220add0_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Eyota-M-Running-Shoes_e8094fa720f0933bacfc8f3c3865ce00_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Eyota-M-Running-Shoes_f13e4a997304e6c48b31ed0926d12611_images_mini.jpg",
SKU,,,,2278704,,,,,IND2278704,,,,,,,,,,Y,58,,,[S]Size=UK 10,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,545648,2-7 Business  Days,7,6,5,IND545648,Adidas Men Black Rokewood Sports Shoes,2,1,BuyAdidas Men Black Rokewood Sports Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"4,999",3,"4,999",,Y,,,By Product,Adidas Men Black Rokewood Sports Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_59367694c45cc29588d5d0770763a997_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_87bd20904bd89a98f2226e821443b4d5_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_7865f791eaa901ae9a26e7a83f67248f_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_d6e2e596ac1dc2286a3de15806d20ae5_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_a6a78fef959fcccf6debe921e184a44b_images_mini.jpg",
SKU,,,,1402306,,,,,IND1402306,,,,,,,,,,Y,112,,,[S]Size=UK 11,,,,,,,
SKU,,,,1402307,,,,,IND1402307,,,,,,,,,,Y,72,,,[S]Size=UK 12,,,,,,,
SKU,,,,546003,,,,,IND546003,,,,,,,,,,Y,55,,,[S]Size=UK 10,,,,,,,
SKU,,,,2278740,,,,,IND2278740,,,,,,,,,,Y,192,,,[S]Size=UK 8,,,,,,,
SKU,,,,2278743,,,,,IND2278743,,,,,,,,,,Y,143,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357774,,,,,IND1357774,,,,,,,,,,Y,21,,,[S]Size=UK 7,,,,,,,
SKU,,,,2278710,,,,,IND2278710,,,,,,,,,,Y,31,,,[S]Size=UK 11,,,,,,,
SKU,,,,2578659,,,,,IND2578659,,,,,,,,,,Y,39,,,[S]Size=UK 7,,,,,,,
