Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7,Product Image File - 8
Product,,Zymax 65,Ashaway,£7.00,£7.00,£7.00,"<div class=""article-content""><h2><strong>Overview</strong></h2>
<p><span>- Maintains Tension Throughout string Life</span><br><span>- Unique ZyWeaVe Core prevents tension loss</span><br><br><span>Ashaway ZyMax 65 is designed for Optimum Repulsion</span><br><br><span>Construction</span><br><span>- ZyWeaVe Core Prevents Tension Loss</span><br><span>- Braided Surface for Superior Control</span><br><span>- 0.65mm / 22 Gauge</span><br><br><span>Playability</span><br><span>- Micro gauge gives optimum hitting sound</span><br><span>- Optimum repulsion and durability</span><br><br><span>Recommended Usage</span><br><span>- Amateur to Professional Players</span><br><span>- Maintains tension at all tensions for Consistent Performance</span><br><br><span>Recommended tension - up to 30lbs.</span><br><br><span>Ashaway Zymax - Consistent Performance</span><br><br><a href=""http://www.ashawayusa.com/StringBrochures/ZyMax62-65.pdf"" target=""_blank"">Download ZyMax Brochure Card</a><br><br><span>Available in 10m set and 200m reel</span><br><span>Available in Ivory White, Optic Yellow or new Flame Red</span></p></div>",129,,,Badminton String,Zymax 65,,N,,Buy Zymax 65 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Zymax 65 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Zymax 65 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/648.jpg?54355613,http://goode-sport.co.uk//data/img/products/gallery/95.jpg?520cce72,http://goode-sport.co.uk//data/img/products/gallery/650.jpg?5435569f,http://goode-sport.co.uk//data/img/products/gallery/598.jpg?541af67b,http://goode-sport.co.uk//data/img/products/gallery/649.jpg?5435569f,http://goode-sport.co.uk//data/img/products/gallery/599.jpg?541af739,http://goode-sport.co.uk//data/img/products/gallery/647.jpg?543555bb
SKU,,[S]Size= 200m 0.65mm,,,,,,129200m 0.65mm
SKU,,[S]Size= 10m 0.65mm,,,,,,12910m 0.65mm
SKU,,[S]Size= Black,,,,,,129Black
SKU,,[S]Size= Red,,,,,,129Red
SKU,,[S]Size= White,,,,,,129White
SKU,,[S]Size= Yellow,,,,,,129Yellow
Product,,Towel Grip Roll,Ashaway,£30.00,£30.00,£30.00,"<div class=""article-content""><h2>Overview</h2>
<ul>
<li><span style=""font-size: 12px;"">20 metre Toweling grip roll. Available in various colours</span></li>
<li><span style=""font-size: 12px;"">Replacement grip</span></li>
</ul></div>",79,,,Grips,Towel Grip Roll,,N,,Buy Towel Grip Roll Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Towel Grip Roll Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Towel Grip Roll Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/51.jpg?520a0aa7,http://goode-sport.co.uk//data/img/products/gallery/628.jpg?542c20ec
SKU,,[S]Size= Black,,,,,,79Black
SKU,,[S]Size= Blue,,,,,,79Blue
SKU,,[S]Size= Red,,,,,,79Red
SKU,,[S]Size= White,,,,,,79White
